alpha	lambda	AUC
0	2	0.7441492154175081
0	3	0.7419301950033658
0	4	0.7406691552179357
0	5	0.7397419405468186
0	0.1	0.7048714620543889
0	1	0.7130225251383788
0	2	0.7140395438993
0	3	0.7141313177288787
0	4	0.7142416397233471
0	5	0.7141640630177215
0	0.1	0.7106064819174576
0	1	0.7146747810528299
0	2	0.713032450569036
0	3	0.7122551323100104
0	4	0.7116278874693509
0	5	0.7112318302623181
0	0.1	0.7088333847785068
0	1	0.714220017055383
0	2	0.7129417884783739
0	3	0.7120234494075958
0	4	0.7112099721672892
0	5	0.710684087397502
0	0.1	0.6982327510437266
0	1	0.7031125193137389
0	2	0.703243374908009
0	3	0.7031615858018297
0	4	0.7028202383568237
0	5	0.7026525253476473
0	0.1	0.6903832020173484
0	1	0.6924570214814117
0	2	0.6905905731515488
0	3	0.6895490054514445
0	4	0.688661397460178
0	5	0.6880918488174586
0	0.1	0.7309556551324844
0	1	0.7294438584926389
0	2	0.7271872839738693
0	3	0.7258842518476665
0	4	0.7249237905152539
0	5	0.7241760532309313
0	0.1	0.7042452007756885
0	1	0.7051890409573337
0	2	0.7035060583231315
0	3	0.7025350751448313
0	4	0.7020435173849808
0	5	0.7015520729789022
0	0.1	0.6904752461520755
0	1	0.6967973609497999
0	2	0.6974089847687409
0	3	0.6974255806328977
0	4	0.6972904080038227
0	5	0.6970981913969719
0	0.1	0.7263506476860135
0	1	0.729389643127448
0	2	0.7277107874424947
0	3	0.726625104198275
0	4	0.7259191342910856
0	5	0.7254694581340922
0	0.1	0.73410080463739
0	1	0.7402970069372509
0	2	0.7391310770701015
0	3	0.7383535669816158
0	4	0.73790411491631
0	5	0.7373866819781454
0	0.1	0.7167092083372572
0	1	0.7191197477965771
0	2	0.7171008482349945
0	3	0.7158256287646532
0	4	0.7149489559245656
0	5	0.7143512554366213
0	0.1	0.7197952996550557
0	1	0.72040338945217
0	2	0.7177926846707334
0	3	0.7163615069773607
0	4	0.7152360330713989
0	5	0.7146055419531029
0	0.1	0.7372360060408841
0	1	0.7370724112614356
0	2	0.7352722286746677
0	3	0.734259371741079
0	4	0.7337238911385253
0	5	0.7330995315873364
0	0.1	0.7124431243089779
0	1	0.7158280449438986
0	2	0.7134562532916191
0	3	0.7119307338697582
0	4	0.7109443616089958
0	5	0.7103396820165113
0	0.1	0.6952073039938894
0	1	0.7016966687942298
0	2	0.700954689009567
0	3	0.7004510433778727
0	4	0.6999991533345192
0	5	0.6998108936462595
0	0.1	0.7050373117019458
0	1	0.7027617094446362
0	2	0.7003520872789165
0	3	0.6989041515382979
0	4	0.698022565248175
0	5	0.6974380399563327
0	0.1	0.6987221228196838
0	1	0.7008658990000454
0	2	0.7000221702538776
0	3	0.6994583233058843
0	4	0.699138431985993
0	5	0.698784530174774
0	0.1	0.704380368173051
0	1	0.70719379222428
0	2	0.7066857057405838
0	3	0.7058394047357462
0	4	0.705290907632371
0	5	0.7047847612420783
0	0.1	0.6726660188062628
0	1	0.6864114785517225
0	2	0.6875118847070066
0	3	0.6873378936427716
0	4	0.6871612875942145
0	5	0.6869694616219006
0	0.1	0.725185469441567
0	1	0.7274636849392947
0	2	0.7255673940491014
0	3	0.7242744251219861
0	4	0.7235279818145672
0	5	0.7228826509436266
0	0.1	0.7029671500769061
0	1	0.7062916862855887
0	2	0.7050632409412897
0	3	0.7040134062634062
0	4	0.7033198137161552
0	5	0.7027936080679983
0	0.1	0.6940420219871439
0	1	0.7015368783417564
0	2	0.701258751783142
0	3	0.7005776909313495
0	4	0.700041402029207
0	5	0.6997666368459051
0	0.1	0.7103905848357068
0	1	0.7137589314052729
0	2	0.7123849982386568
0	3	0.7114073385231922
0	4	0.7106394356028503
0	5	0.7101509357789846
0	0.1	0.7434248019796801
0	1	0.7349758085611744
0	2	0.7321004209784697
0	3	0.7305642803081828
0	4	0.729547837035642
0	5	0.7289406244223318
0	0.1	0.6976487044535825
0	1	0.7057575729039144
0	2	0.7057426293889708
0	3	0.7055370475004621
0	4	0.7053341163463115
0	5	0.7050369655369655
0	0.1	0.6891418753248022
0	1	0.699074110696062
0	2	0.6996127442773784
0	3	0.69920134245744
0	4	0.6988482088360137
0	5	0.6986491334540115
0	0.1	0.6779807664807664
0	1	0.6896098049268781
0	2	0.6904447147495928
0	3	0.6903675269346001
0	4	0.6901347270615563
0	5	0.6900034346192883
0	0.1	0.6855315071168729
0	1	0.6900037040524846
0	2	0.6888886238154531
