mtry	AUC
8	0.8023459190898216
17	0.7996410761807103
34	0.7907480027937345
2	0.7682684618416326
4	0.7834298719451158
8	0.7932671042122261
17	0.7921058920418677
34	0.7841937673736454
2	0.7763212009919327
4	0.7933106651948115
8	0.8031642792618402
17	0.8027281480086358
34	0.79370812973252
2	0.7655959949496535
4	0.779542623198111
8	0.7865468316748805
17	0.783469045264777
34	0.7751360519927594
2	0.808218444489786
4	0.8253618012611915
8	0.8345727657099609
17	0.8356684873026337
34	0.8314637577472943
2	0.7867263801257703
4	0.801517483511386
8	0.8084519550037843
17	0.8050609817134208
34	0.7944502520813497
2	0.7656121596335012
4	0.7816591037902013
8	0.7904185806015074
17	0.7907576775381654
34	0.7831155558868974
2	0.7632516104955129
4	0.7790057221856003
8	0.7891266575809259
17	0.7906954541649663
34	0.7837328016169479
2	0.7769202935513911
4	0.787925926797878
8	0.7970262858677493
17	0.7990149613899614
34	0.7919370280559305
2	0.7910804079340665
4	0.8055773020407166
8	0.8160384622427306
17	0.8181534073271878
34	0.812681017254188
2	0.772649233728502
4	0.78733680893437
8	0.795921875272485
17	0.794608783870979
34	0.7856704108289474
2	0.7694139950054584
4	0.7838232099695515
8	0.7914399669704548
17	0.7916126431309358
34	0.784511268672854
2	0.792525644546986
4	0.8054124145922926
8	0.8118431920596555
17	0.8097553651212188
34	0.8009543951617122
2	0.7553414760579394
4	0.7734032002385661
8	0.782414582265192
17	0.7848227722496015
34	0.7793498581333947
2	0.7885585066774091
4	0.799846819816332
8	0.8045800338666192
17	0.8014412212735383
34	0.792591394966395
2	0.7768905704484973
4	0.7909446912068864
8	0.8025930760900273
17	0.8039922335227213
34	0.7967876378120281
2	0.7864819357685211
4	0.8044208437531608
8	0.8138902587256246
17	0.8121319852082047
34	0.8041857506461165
2	0.7705059811553714
4	0.7855575248593542
8	0.792782451005012
17	0.7911369113015455
34	0.7819703749917165
2	0.7722995164153701
4	0.7901246411917143
8	0.8001286905372271
17	0.799480676233725
34	0.7926564718028133
2	0.7773366162329577
4	0.7909319301880278
8	0.7972773522651572
17	0.7939260575906918
34	0.7846488173713784
2	0.7634683036695232
4	0.7742058670168427
8	0.780106876911755
17	0.7780861218361218
34	0.770340308514089
2	0.7846511276084447
4	0.8035542838134302
8	0.8149305049823342
17	0.8148856164526896
34	0.8055503234070307
2	0.7737560788140057
4	0.7876187786218274
8	0.7964745926239829
17	0.7968424417448807
34	0.7887591009999546
2	0.8067036919323505
4	0.8216612867222624
8	0.8287733033556204
17	0.8244916331837063
34	0.8139261591731104
2	0.7723130137977698
4	0.787175745431843
8	0.7956901566200347
17	0.7956654904032953
34	0.7866291068943508
2	0.7790746268917
4	0.794951512924074
8	0.8051662507455191
17	0.8031787344836125
34	0.7936107906687175
2	0.7845655882363199
4	0.8029460649674064
8	0.8105324143830241
17	0.8078646952701831
34	0.8010104791202353
2	0.7867729789894424
4	0.7999916379794428
8	0.8079012841238451
17	0.8064920412572851
34	0.79711926124731
2	0.7784354363073875
4	0.7955119474875573
8	0.8054951510744194
17	0.8069041358431602
34	0.7998919067150775
2	0.799319621014743
4	0.8111137531259482
8	0.8198279795474918
17	0.8189230310449823
34	0.8129069382971822
2	0.7833096423950082
4	0.7906822964079062
8	0.792806304126426
17	0.7897089450077255
34	0.7821605848008287
2	0.7653288623989843
4	0.7803577423242057
8	0.791790630787582
17	0.7947072460090753
34	0.7881295677210312
2	0.758851003878443
4	0.7745866245165026
8	0.7847240528856383
17	0.7847880506813434
34	0.7777560138535748
2	0.7703253867979478
4	0.7879256155109814
8	0.7991112183612183
17	0.8008935071831413
34	0.7961094465545685
2	0.7896821146058951
4	0.804891196946075
8	0.8118184600105331
17	0.8083490742484645
34	0.7974013290293778
2	0.7976405002563539
4	0.8144339605284727
8	0.825489265397802
17	0.8266812862514082
34	0.8207657539944125
2	0.7714926965292819
4	0.7872534171802464
8	0.7960931314589851
17	0.7957940579952775
34	0.7889387043838263
2	0.79160429418966
4	0.8040430412991388
8	0.8105792120517731
17	0.807145858837932
34	0.7970486300760691
2	0.7843582048947902
4	0.7991132386742142
8	0.8070374394429273
17	0.8074715259684772
34	0.801291460014021
2	0.7969849174086979
4	0.80891948219997
8	0.81604020527496135
17	0.817245843840356
34	0.8089373790166473
2	0.7874250583335949
4	0.8008285995054287
8	0.8085039024215853
17	0.8059038520227545
34	0.7958427260012626
2	0.795798475740549
4	0.8109998399967913
8	0.8211536122359293
17	0.8234052563015978
34	0.8178518557756362
2	0.8074160994618311
4	0.8197218629779606
8	0.8255155124636832
17	0.8237701887427498
34	0.8166762450603914
2	0.7863910038086868
4	0.7995930551631771
8	0.8052763665233178
17	0.8013192382277748
34	0.7906724302699912
2	0.7752283524814013
4	0.7910829954518979
8	0.801088754259486
17	0.7997395588096807
34	0.7911867298483152
2	0.7846990592508886
4	0.7959340263608556
8	0.8019595405510039
17	0.8004036859158811
34	0.794227320962077
2	0.7868928710940906
4	0.800755824639971
8	0.8098824482147653
17	0.8063875308235064
34	0.7946811506628579
2	0.7797780118969143
4	0.798001629678459
8	0.8094126831535369
17	0.8102997200161834
34	0.8026891451556085
2	0.7532181693889011
4	0.7752712233139063
8	0.7886194051194051
17	0.7923920026298075
34	0.7869734399033179
2	0.7856334984810595
4	0.8014195340811194
8	0.8113560834353517
17	0.8111911109715988
34	0.8025342546379132
2	0.7699233885453398
4	0.7861546991242113
8	0.7966013775099141
17	0.799501287437263
34	0.7962125893314917
2	0.7692237267755561
4	0.7846629848489605
8	0.7930272245241757
