alpha	lambda	AUC
0	3	0.6698948338582486
0	4	0.6695737706347462
0	5	0.6693256418439345
0	0.1	0.6286041817078403
0	1	0.645326285344578
0	2	0.646838745539965
0	3	0.6469970048445658
0	4	0.6469306083086571
0	5	0.6469227241178461
0	0.1	0.613895924670315
0	1	0.630428681294535
0	2	0.6305186336161946
0	3	0.6301889799206872
0	4	0.6297393770076697
0	5	0.6293794892453429
0	0.1	0.6077180185411892
0	1	0.6260114757614758
0	2	0.6272778963632623
0	3	0.6275400226009982
0	4	0.6275241434814606
0	5	0.6274877822072944
0	0.1	0.6429554057541862
0	1	0.6614001178879227
0	2	0.6624222480320041
0	3	0.6620164249615469
0	4	0.661829955390931
0	5	0.6615680811473494
0	0.1	0.6325174067796019
0	1	0.650439692305546
0	2	0.6507766276729692
0	3	0.6503184046415754
0	4	0.6498582868582868
0	5	0.6494698086588331
0	0.1	0.5968936741619668
0	1	0.6184196199684004
0	2	0.6197395435505192
0	3	0.6198174184637599
0	4	0.6196549450147011
0	5	0.6195074281598671
0	0.1	0.6242511274340543
0	1	0.6403974383791458
0	2	0.6417827252339448
0	3	0.6419532921423166
0	4	0.6418807622953965
0	5	0.6419533714899569
0	0.1	0.5759228209045282
0	1	0.5889708297147321
0	2	0.5890316937146205
0	3	0.5885974955792029
0	4	0.5883263638202663
0	5	0.588037684897441
