cv_metric_AUC	logLoss	AUC	prAUC	Accuracy	Kappa	F1	Sensitivity	Specificity	Pos_Pred_Value	Neg_Pred_Value	Precision	Recall	Detection_Rate	Balanced_Accuracy	method	seed
0.593035259126723	0.670586448307366	0.732051282051282	0.703102908404969	0.597938144329897	0.149696561024949	0.315789473684211	0.2	0.942307692307692	0.75	0.576470588235294	0.75	0.2	0.0927835051546392	0.571153846153846	glmnet	2
0.627905445515202	0.67781497259837	0.634615384615385	0.602607852871442	0.577319587628866	0.106091256462126	0.700729927007299	0.923076923076923	0.177777777777778	0.564705882352941	0.666666666666667	0.564705882352941	0.923076923076923	0.494845360824742	0.55042735042735	glmnet	20
0.638061762110543	0.667616381463114	0.652991452991453	0.650151222665358	0.639175257731959	0.234498308906426	0.748201438848921	1	0.222222222222222	0.597701149425287	1	0.597701149425287	1	0.536082474226804	0.611111111111111	glmnet	21
0.600760127723542	0.672623052872241	0.772649572649573	0.740130892856432	0.587628865979381	0.123757904245709	0.714285714285714	0.961538461538462	0.155555555555556	0.568181818181818	0.777777777777778	0.568181818181818	0.961538461538462	0.515463917525773	0.558547008547009	glmnet	22
0.65284115299969	0.682581213930315	0.554700854700855	0.533111990606051	0.577319587628866	0.114451124471164	0.687022900763359	0.865384615384615	0.244444444444444	0.569620253164557	0.611111111111111	0.569620253164557	0.865384615384615	0.463917525773196	0.55491452991453	glmnet	23
0.640602887730937	0.666212820479388	0.592307692307692	0.588869382347844	0.65979381443299	0.28945615982242	0.744186046511628	0.923076923076923	0.355555555555556	0.623376623376623	0.8	0.623376623376623	0.923076923076923	0.494845360824742	0.639316239316239	glmnet	24
0.633443671022939	0.677038923783607	0.633333333333333	0.5939358077488	0.587628865979381	0.126519585772175	0.710144927536232	0.942307692307692	0.177777777777778	0.569767441860465	0.727272727272727	0.569767441860465	0.942307692307692	0.505154639175258	0.560042735042735	glmnet	25
0.622967415150342	0.674736717925034	0.678205128205128	0.642842750025635	0.577319587628866	0.103269447576099	0.705035971223021	0.942307692307692	0.155555555555556	0.563218390804598	0.7	0.563218390804598	0.942307692307692	0.505154639175258	0.548931623931624	glmnet	26
0.645305409067604	0.680019866656235	0.645299145299145	0.600269737839985	0.54639175257732	0.0511338372610048	0.661538461538462	0.826923076923077	0.222222222222222	0.551282051282051	0.526315789473684	0.551282051282051	0.826923076923077	0.443298969072165	0.524572649572649	glmnet	27
0.630026517807006	0.674183101017818	0.671367521367521	0.642142347624942	0.608247422680412	0.167570009033424	0.728571428571429	0.980769230769231	0.177777777777778	0.579545454545454	0.888888888888889	0.579545454545455	0.980769230769231	0.525773195876289	0.579273504273504	glmnet	28
